id,front_pixels,front_h,front_w,front_hw_ratio,front_lean,front_top_base_ratio,front_cy_ratio,front_cx_ratio,front_fill_ratio,front_symmetry,top_pixels,top_h,top_w,top_hw_ratio,top_lean,top_top_base_ratio,top_cy_ratio,top_cx_ratio,top_fill_ratio,top_symmetry,label
TRAIN_0001,10533,191,131,1.4580152671755726,17.18385075477073,0.3106796116504854,0.46470863397575873,0.4539483053261179,0.42096638823388355,0.8495171202809482,7168,66,139,0.4748201438848921,12.89016862833222,1.0,0.49894242059616817,0.43777066185360863,0.7813385655112274,0.9273998386663082,unstable
TRAIN_0002,12468,134,210,0.638095238095238,47.9225753627735,0.9207920792079208,0.5197495170971019,0.6983444284033794,0.4430703624733475,0.9923298178331735,3147,29,261,0.1111111111111111,163.28249126151889,47.5,0.49686374589556187,0.7090689876602054,0.4157748711850971,0.9342347879532883,unstable
TRAIN_0003,2606,129,100,1.29,7.876420514181234,1.1428571428571428,0.47576406210028144,0.5206254796623178,0.202015503875969,0.9697656840513983,564,47,99,0.47474747474747475,86.47517730496455,4.25,0.46994126773049644,0.5070968158983452,0.12121212121212122,0.8675496688741722,unstable
TRAIN_0004,2054,69,154,0.44805194805194803,35.127233753406244,1.1612903225806452,0.5209664577247647,0.5967979146381045,0.1932994541690194,0.9286384976525821,1209,30,173,0.17341040462427745,129.772952853598,92.0,0.4981583436724566,0.6126899813895782,0.2329479768786127,0.8318181818181818,unstable
TRAIN_0005,2366,114,89,1.2808988764044944,0.21703660165198357,1.1428571428571428,0.4843915099323753,0.5020560369118061,0.2331953479203627,0.940935192780968,322,28,97,0.28865979381443296,86.95652173913044,19.0,0.4964091614906832,0.5024909420289855,0.11855670103092783,0.8295454545454546,stable
TRAIN_0006,9743,163,129,1.2635658914728682,13.122579148167489,0.44329896907216493,0.47830466959184376,0.46455120556638957,0.46335663670518856,0.8761794723666474,6148,67,124,0.5403225806451613,4.115116510174005,0.8211382113821138,0.496622377195836,0.4612204510952071,0.7400096292729899,0.999349593495935,unstable
TRAIN_0007,9379,128,183,0.6994535519125683,43.06266736343386,0.6956521739130435,0.5298189439172619,0.62762804536731,0.40040129781420764,0.9426263463131731,9109,70,219,0.319634703196347,10.740132353707793,0.7255813953488373,0.4964692657445018,0.6528096067991364,0.594194390084801,0.9627235509588451,unstable
TRAIN_0008,12996,179,124,1.4435483870967742,22.327254539858416,1.1139240506329113,0.4799146933030676,0.44055402463578536,0.5855109028653811,0.9871559633027523,7484,68,124,0.5483870967741935,0.8806353399836553,0.9919354838709677,0.4943981187644753,0.3902276244877962,0.8875711574952562,0.9504821475110764,unstable
TRAIN_0009,2422,117,104,1.125,7.582635091305605,1.2,0.4807450798238371,0.519594687586017,0.1990466798159106,0.951651893634166,583,44,102,0.43137254901960786,89.87993138936534,18.0,0.47323470554602626,0.5101039879931389,0.12990196078431374,0.9304635761589404,unstable
TRAIN_0010,10223,195,132,1.4772727272727273,1.43863544155289,0.27184466019417475,0.4635816602269393,0.502461005005054,0.39716394716394715,0.9588043686529987,4603,66,127,0.5196850393700787,1.4008985178932392,0.5433070866141733,0.49913383029183866,0.5033102279310594,0.5491529467907421,0.9806368330464716,stable
TRAIN_0011,3029,142,45,3.1555555555555554,11.551564641931833,1.3,0.4784969255529878,0.5317486519203257,0.47402190923317683,0.8978696741854637,729,16,47,0.3404255319148936,1.4827441729657664,0.8936170212765957,0.49684570759030633,0.54966849565615,0.9694148936170213,0.9702702702702702,unstable
TRAIN_0012,12862,167,126,1.3253968253968254,1.3733462637043772,1.2531645569620253,0.4917497602757477,0.5025658998730109,0.6112536831099705,0.9720944495553511,4881,68,120,0.5666666666666667,0.05395007232746707,0.5932203389830508,0.49488663525233895,0.5051725867308612,0.5981617647058823,0.971324717285945,stable
TRAIN_0013,10478,219,133,1.6466165413533835,22.88683684737603,0.3523809523809524,0.44733931610676336,0.4412583707132404,0.35973495382291343,0.848297759745987,7273,66,180,0.36666666666666664,23.80524483115849,0.8360655737704918,0.495643132132545,0.39781948932123373,0.6122053872053872,0.7887358583374323,unstable
TRAIN_0014,10524,208,133,1.5639097744360901,7.55378183200304,0.3106796116504854,0.45327445996452553,0.5183692235208412,0.38042220936957777,0.7971311475409836,4720,66,144,0.4583333333333333,6.235977532518746,0.532258064516129,0.49806839247881357,0.5103317002118645,0.49663299663299665,0.9873684210526316,unstable
TRAIN_0015,3080,151,37,4.081081081081081,8.026273726273729,1.3157894736842106,0.46801694399350646,0.5210269548160174,0.5512797565777698,0.8565400843881856,618,35,21,1.6666666666666667,3.788025889967628,1.3076923076923077,0.4675659048004315,0.5085625674217907,0.8408163265306122,0.8957055214723927,unstable
